record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,109,20,32,0.213984,1,1,uncontested,,
1,116,20,84,0.06662,1,4,contested,78|83|53,0.1414|0.2027|0.3439
2,124,20,83,0.021675,1,7,contested,53|84|12|80|78|79,0.1195|0.1578|0.2116|0.3397|0.3658|0.3860
3,126,20,79,0.02288,1,6,contested,21|80|46|12|53,0.0472|0.0692|0.1833|0.1973|0.2894
4,127,20,53,0.017301,1,7,contested,12|83|80|79|84|21,0.0749|0.1585|0.2029|0.2493|0.2946|0.3194
6,106,21,66,0.020237,1,2,contested,82,0.1972
7,101,21,19,0.181369,1,1,uncontested,,
8,79,21,12,0.09216,1,6,contested,83|80|79|84|21,0.1412|0.2202|0.2666|0.2773|0.3367
9,123,23,83,0.136122,2,3,contested,78|12,0.2080|0.3694
10,129,24,12,0.043132,2,6,contested,80|79|21|83|46,0.0849|0.1313|0.2014|0.2764|0.3374
11,128,25,83,0.34416,3,1,uncontested,,
12,100,25,82,0.176984,1,1,uncontested,,
13,115,26,79,0.046325,2,5,contested,21|12|46|83,0.1164|0.1281|0.2525|0.3614
14,120,28,12,0.233315,3,1,uncontested,,
16,135,30,90,0.060263,1,2,contested,19,0.3501
17,133,31,79,0.003647,3,4,contested,21|12|46,0.0665|0.1780|0.2025
18,136,32,42,0.071102,1,1,uncontested,,
19,28,32,100,0.04181,1,1,uncontested,,
20,114,33,21,0.070099,1,3,contested,12|46,0.1744|0.2062
21,140,33,89,0.251668,1,1,uncontested,,
22,132,34,60,0.045709,1,4,contested,97|94|101,0.1398|0.1966|0.3567
24,142,35,60,0.311039,2,1,uncontested,,
25,144,38,96,0.106977,1,3,contested,42|32,0.2462|0.3109
26,143,38,98,0.203477,1,2,contested,42,0.2809
