record_id,dead_lid,window,winner_cid,winner_phase_dist,winner_new_ttl_bonus,n_candidates,outcome,loser_cids,loser_phase_dists
0,96,20,2,0.226739,1,2,contested,19,0.2875
1,97,20,42,0.252324,1,1,uncontested,,
2,94,21,52,0.091812,1,4,contested,67|19|2,0.0952|0.2484|0.3092
3,100,22,19,0.153229,1,3,contested,52|2,0.1870|0.2140
4,103,26,22,0.182055,1,1,uncontested,,
5,101,27,74,0.028689,1,3,contested,73|2,0.1335|0.3438
6,0,31,10,0.109037,1,4,contested,72|71|69,0.1610|0.3177|0.3683
7,108,31,10,0.274962,2,3,contested,72|44,0.3269|0.3438
8,105,32,10,0.05198,3,4,contested,78|71|69,0.0690|0.1567|0.2072
9,107,36,73,0.104818,1,3,contested,2|19,0.3151|0.3759
10,61,36,77,0.246264,1,1,uncontested,,
11,111,37,10,0.017017,4,4,contested,71|69|77,0.2257|0.2762|0.3555
