window,alive_nodes,alive_links,n_clusters,max_size,k_star,entropy,milestone,physics_seconds,stressed,calcified,mean_omega,stress_intensity,link_ema,total_rplus,budget,v_labels,v_born,v_died,v_torque_n,v_mean_torque,v_top_share,v_label_rplus_rate,v_oldest_age,v_mean_age,v_mean_share_5node,v_share_std,v_births_5node,v_deaths_5node,macro_nodes_active,compressed_links_removed,occ_max,occ_mean,occ_nonzero,vacancy_mean,history_max,history_gini,lw_n_oasis,lw_n_penalty,lw_n_neutral
1,5000,6163,11,5,0,1.9993,0,16.5,0,0,6.62,1.0,6163.0,587,1.0,363,558,195,2034,0.000989,0.0074,403.1593,0,0.0,0.0055,0.0012,3,0,0,0,0.032361,0.015625,64,0.5172,0.0324,0.2418,0,0,363
2,5000,3712,6,5,0,1.9993,0,15.5,435,3283,5.18,0.8231,4552.3,429,1.0,346,16,33,2106,0.001108,0.0083,352.5535,1,1.0,0.0062,0.0012,3,0,0,0,0.032031,0.015625,64,0.5122,0.0601,0.2392,0,0,346
3,5000,3382,3,5,0,1.9993,0,15.2,239,3154,4.85,0.8565,3981.2,228,1.0,277,8,77,2016,0.001154,0.0139,241.2327,2,1.9,0.0091,0.0018,2,0,0,0,0.039062,0.015625,64,0.6,0.0897,0.2501,0,0,277
4,5000,3142,1,3,0,1.9993,0,15.1,44,3115,4.55,0.8649,3652.3,27,1.0,240,3,40,1750,0.001379,0.0127,40.9091,3,2.9,0.0096,0.0024,0,0,0,0,0.042493,0.015625,63,0.6323,0.1204,0.261,0,0,240
5,5000,3092,3,5,0,1.9993,0,15.1,9,3083,4.44,0.8922,3465.5,9,1.0,210,3,33,1656,0.001426,0.0153,16.1002,4,3.8,0.0106,0.0029,1,0,0,0,0.037415,0.015625,61,0.5824,0.1521,0.2654,0,0,210
6,5000,3082,0,0,1,1.9995,2,14.9,5,3077,4.49,0.9184,3356.0,5,1.0,192,0,18,1586,0.001483,0.0211,9.2421,5,4.8,0.0102,0.0032,0,0,0,0,0.056239,0.015625,60,0.7222,0.2084,0.2687,0,0,192
7,5000,3082,2,5,0,1.9989,1,15.0,8,3069,4.53,0.9375,3287.5,13,1.0,178,2,16,1539,0.001547,0.0208,25.8449,6,5.7,0.0115,0.0036,1,0,0,0,0.05293,0.015625,59,0.7048,0.2613,0.2727,0,0,178
8,5000,3223,1,4,0,2.0,1,15.0,4,3214,4.59,0.9847,3273.1,9,1.0,169,1,10,1504,0.00151,0.02,17.2084,7,6.7,0.0151,0.004,0,0,0,0,0.050909,0.015625,59,0.6931,0.3104,0.2809,0,0,169
9,5000,3085,0,0,1,1.9963,2,15.0,2,3078,4.49,0.9535,3235.5,7,1.0,150,2,21,1402,0.001508,0.0243,15.9091,8,7.6,0.0143,0.004,0,0,0,0,0.04415,0.015625,58,0.6461,0.3413,0.2882,0,0,150
10,5000,3103,1,5,3,1.9936,1,15.0,0,3098,4.53,0.9662,3211.4,5,1.0,131,1,20,1302,0.001645,0.0223,12.7226,9,8.5,0.0151,0.0045,1,0,0,0,0.054455,0.015625,55,0.7131,0.3883,0.2947,0,0,131
11,5000,3175,1,5,3,1.9752,1,14.9,4,3164,4.58,0.9905,3205.3,11,1.0,130,7,8,1302,0.001608,0.026,24.57,10,9.2,0.0134,0.0047,1,0,0,0,0.047281,0.015625,56,0.6695,0.4167,0.2971,0,0,130
12,5000,3188,0,0,3,1.979,2,15.0,4,3184,4.66,0.9954,3202.7,4,1.0,123,0,7,1251,0.001656,0.04,10.2828,11,10.2,0.0185,0.006,0,0,0,0,0.0675,0.015625,54,0.7685,0.4717,0.2985,0,0,123
13,5000,3144,1,3,0,1.9612,1,15.0,4,3140,4.52,0.9843,3194.3,4,1.0,121,1,3,1235,0.00156,0.033,10.4167,12,11.1,0.0186,0.0054,0,0,0,0,0.058376,0.015625,55,0.7323,0.5225,0.3031,0,0,121
14,5000,3133,1,5,3,1.9634,1,15.0,1,3127,4.44,0.9833,3186.1,6,1.0,113,2,10,1204,0.001553,0.034,12.5,13,12.1,0.0162,0.0059,1,0,0,0,0.055825,0.015625,54,0.7201,0.5759,0.3061,0,0,113
15,5000,3150,1,3,1,1.9839,2,15.0,4,3146,4.48,0.9901,3181.6,4,1.0,107,3,9,1149,0.001616,0.0383,11.236,14,12.8,0.0174,0.0062,0,0,0,0,0.054645,0.015625,52,0.7141,0.6305,0.308,0,0,107
16,5000,2970,1,5,1,1.9304,2,15.0,0,2965,4.36,0.9409,3156.7,5,1.0,101,1,7,1109,0.001686,0.0374,14.9254,15,13.6,0.0185,0.0065,1,0,0,0,0.066092,0.015625,50,0.7636,0.6765,0.311,0,0,101
17,5000,3114,1,5,1,1.983,2,15.0,1,3108,4.49,0.988,3152.0,6,1.0,90,2,13,1053,0.001865,0.0405,16.0256,16,14.3,0.0191,0.0069,1,0,0,0,0.05296,0.015625,47,0.705,0.7201,0.3139,0,0,90
18,5000,3193,0,0,1,1.9785,2,15.1,3204,0,4.61,1.0147,3157.4,0,1.0,87,0,3,1020,0.001877,0.0437,0.0,17,15.3,0.0198,0.0077,0,0,0,0,0.0625,0.015625,46,0.75,0.7826,0.3173,0,0,87
19,5000,3057,2,5,1,1.9387,1,15.0,4,3048,4.5,0.9713,3147.4,9,1.0,82,2,7,986,0.001982,0.0319,29.1262,18,15.8,0.021,0.0072,2,1,0,0,0.051118,0.015625,43,0.6943,0.8337,0.322,0,0,82
20,5000,3110,2,5,3,1.9698,1,15.0,6,3094,4.5,0.9892,3143.8,16,1.0,78,3,7,991,0.002142,0.0463,47.4684,19,16.4,0.0204,0.0083,2,0,0,0,0.074074,0.015625,41,0.7891,0.8954,0.3308,0,0,78
21,5000,3162,2,5,3,1.9943,2,15.1,3154,0,4.49,1.0067,3146.0,13,1.0,78,2,2,997,0.002097,0.0381,42.0712,20,16.8,0.0232,0.0082,1,0,0,0,0.120635,0.015625,42,0.8705,0.9526,0.3397,0,0,78
22,5000,3196,0,0,3,1.967,2,15.1,3208,0,4.51,1.0204,3152.8,9,1.0,77,1,2,1007,0.001944,0.0372,24.024,21,18.0,0.0198,0.0076,0,0,0,0,0.097421,0.015625,43,0.8396,0.9984,0.3474,0,0,77
23,5000,3121,2,5,1,1.9737,1,15.0,0,3107,4.55,0.9909,3149.8,14,1.0,77,2,2,1013,0.001956,0.0388,42.6829,22,18.4,0.0212,0.0084,2,0,0,0,0.083582,0.015625,41,0.8131,1.0611,0.3549,0,0,77
24,5000,3192,1,5,3,1.9569,1,15.1,3210,0,4.6,1.0216,3156.9,15,1.0,77,1,1,1013,0.001986,0.0387,45.4545,23,19.2,0.018,0.0073,1,0,0,0,0.092262,0.015625,41,0.8306,1.1355,0.3607,0,0,77
25,5000,3095,1,5,1,1.9489,2,15.1,4,3076,4.51,0.9822,3151.0,19,1.0,79,5,3,1018,0.001944,0.046,60.5096,24,19.2,0.0213,0.0084,1,1,0,0,0.095092,0.015625,41,0.8357,1.2306,0.3642,0,0,79
26,5000,3118,2,5,3,1.9457,2,15.1,14,3095,4.5,0.9905,3147.9,23,1.0,76,4,7,1042,0.001899,0.0325,65.2174,25,19.6,0.0192,0.0078,1,0,0,0,0.079882,0.015625,43,0.8044,1.3105,0.3681,0,0,76
27,4999,3057,0,0,3,1.9077,2,15.1,4,3053,4.56,0.9738,3139.2,4,1.0,72,0,4,1002,0.002005,0.0357,14.5455,26,20.3,0.0217,0.008,0,0,0,0,0.085714,0.015625,40,0.8177,1.3676,0.372,0,0,72
28,4996,3181,2,5,3,1.8911,1,15.1,3201,0,4.6,1.0206,3146.1,10,1.0,71,2,3,1016,0.00211,0.0435,32.0513,27,20.5,0.0189,0.0089,2,0,0,0,0.07764,0.015625,41,0.7988,1.4422,0.3752,0,0,71
29,4996,3091,0,0,3,1.9656,1,15.1,5,3086,4.49,0.9841,3140.8,5,1.0,68,0,3,998,0.001741,0.0339,17.4825,28,21.6,0.0195,0.0076,0,0,0,0,0.064407,0.015625,40,0.7574,1.4964,0.3783,0,0,68
30,4994,3117,0,0,3,1.8892,1,15.0,5,3112,4.44,0.9931,3138.6,5,1.0,66,0,2,972,0.002002,0.0391,18.1159,29,22.7,0.0233,0.0097,0,0,0,0,0.081851,0.015625,40,0.8091,1.5747,0.3798,0,0,66
31,4991,3043,0,0,3,1.8092,1,15.0,0,3043,4.41,0.9724,3129.5,0,1.0,66,0,0,961,0.001818,0.0389,0.0,30,23.7,0.0213,0.008,0,0,0,0,0.095406,0.015625,40,0.8362,1.6277,0.3831,0,0,66
32,4991,3079,0,0,3,1.8238,1,15.0,0,3079,4.43,0.9854,3124.7,0,1.0,63,0,3,938,0.001762,0.0471,0.0,31,24.4,0.0234,0.0092,0,0,0,0,0.077441,0.015625,40,0.7982,1.6816,0.3862,0,0,63
33,4990,2989,2,4,3,1.8464,1,15.0,7,2982,4.43,0.9606,3111.7,7,1.0,66,5,2,989,0.001874,0.0396,25.9259,32,24.1,0.0202,0.0089,0,1,0,0,0.068345,0.015625,42,0.7714,1.7103,0.3871,0,0,66
34,4989,3015,1,3,3,1.737,1,15.0,7,3003,4.44,0.9718,3102.5,12,1.0,68,7,5,983,0.001805,0.0461,43.7956,33,22.9,0.0189,0.0085,0,0,0,0,0.067376,0.015625,41,0.7681,1.7635,0.3889,0,0,68
35,4989,3099,2,5,3,1.7666,2,15.1,9,3082,4.48,0.999,3102.2,17,1.0,65,3,6,976,0.001898,0.0379,52.8053,34,23.7,0.0193,0.0087,1,1,0,0,0.069401,0.015625,43,0.7749,1.7982,0.3899,0,0,65
