record_id,dead_lid,phase_sig,deposited_at,removed_at,removal_reason
0,96,0.5416,20,20,consumed
1,97,-1.6813,20,20,consumed
2,94,1.0775,21,21,consumed
3,12,-1.1849,22,22,consumed
4,102,0.4245,23,23,consumed
5,63,1.1693,26,26,consumed
6,105,2.6404,27,27,consumed
7,107,-2.3328,28,28,consumed
8,109,0.8511,29,29,consumed
9,112,0.3467,31,31,consumed
10,103,-0.3371,31,31,consumed
11,113,-0.5364,32,32,consumed
12,115,3.0363,33,33,consumed
13,122,2.7807,36,36,consumed
14,120,1.9732,37,37,consumed
15,114,-1.0333,38,38,consumed
16,124,1.0429,38,38,consumed
17,125,-1.8263,38,38,consumed
18,126,2.976,38,38,consumed
