seed,window,rate,n_C,r_000,r_001,r_010,r_011,r_100,r_101,r_110,r_111,bd_0,bd_1,sz_0,sz_1,f_0,f_1,intr_0,intr_1,intr_2p,cp_full_types,cp_full_entropy
999,1,0.0005,106,96,7,0,0,0,0,0,3,103,3,106,0,57,49,106,0,0,5,1.4976
999,2,0.0005,68,53,2,0,5,0,0,0,8,58,10,68,0,34,34,68,0,0,10,2.1322
999,3,0.0005,20,17,0,0,0,0,0,0,3,19,1,20,0,12,8,20,0,0,4,1.5955
999,4,0.0005,16,13,1,0,2,0,0,0,0,14,2,16,0,9,7,16,0,0,5,1.8024
999,5,0.0005,18,13,3,0,2,0,0,0,0,16,2,18,0,6,12,17,0,1,6,2.0294
999,6,0.0005,13,10,2,0,1,0,0,0,0,12,1,13,0,4,9,12,0,1,5,1.823
999,7,0.0005,11,10,1,0,0,0,0,0,0,11,0,11,0,3,8,11,0,0,3,1.2407
999,8,0.0005,10,8,0,0,0,0,0,0,2,9,1,10,0,3,7,10,0,0,4,1.6855
999,9,0.0005,17,9,3,0,4,0,0,0,1,14,3,17,0,10,7,17,0,0,7,2.4981
999,10,0.0005,11,8,2,0,0,0,0,0,1,10,1,10,1,5,6,11,0,0,4,1.7899
999,11,0.0005,16,14,2,0,0,0,0,0,0,16,0,16,0,4,12,16,0,0,4,1.3245
999,12,0.0005,6,3,0,0,3,0,0,0,0,3,3,6,0,3,3,6,0,0,4,1.9183
999,13,0.0005,13,11,0,0,0,0,0,0,2,11,2,13,0,7,6,13,0,0,4,1.6143
999,14,0.0005,10,8,2,0,0,0,0,0,0,10,0,10,0,5,5,10,0,0,3,1.4855
999,15,0.0005,10,6,0,0,0,0,0,0,4,9,1,10,0,5,5,10,0,0,5,2.171
999,16,0.0005,9,6,0,0,0,0,0,0,3,6,3,9,0,4,5,9,0,0,4,1.8911
999,17,0.0005,14,11,1,0,1,0,0,0,1,12,2,14,0,3,11,14,0,0,5,1.6267
999,18,0.0005,24,22,2,0,0,0,0,0,0,24,0,24,0,9,15,24,0,0,3,1.241
999,19,0.0005,11,11,0,0,0,0,0,0,0,11,0,11,0,5,6,11,0,0,2,0.994
999,20,0.0005,5,3,1,0,1,0,0,0,0,4,1,5,0,3,2,5,0,0,4,1.9219
999,21,0.0005,7,4,2,0,0,0,0,0,1,6,1,7,0,3,4,7,0,0,5,2.2359
999,22,0.0005,8,6,1,0,1,0,0,0,0,7,1,8,0,3,5,8,0,0,4,1.75
999,23,0.0005,7,4,0,0,2,0,0,0,1,6,1,7,0,6,1,6,1,0,5,2.1281
999,24,0.0005,11,10,0,0,0,0,0,0,1,11,0,11,0,5,6,11,0,0,3,1.3222
999,25,0.0005,5,4,1,0,0,0,0,0,0,5,0,5,0,2,3,5,0,0,3,1.371
